"1" "2" "3" "4"
"1" 1 0 0 0
"2" 0.999888397009142 0.000111598838908718 4.15189697937862e-09 5.14887332040951e-14
"3" 0.99977680232208 0.000223181070538451 1.6606970052716e-08 4.11909865632761e-13
"4" 0.999665215938501 0.000334746695815996 3.73642924228145e-08 1.39019579651057e-12
"5" 0.999553637858099 0.00044629571566815 6.64229372924765e-08 3.29527892506209e-12
"6" 0.999442068080564 0.00055782813102171 1.03781977864504e-07 6.43609165051189e-12
"7" 0.999330506605588 0.000669343942803475 1.494404873417e-07 1.11215663720845e-11
"8" 0.99921895343286 0.00078084315194024 2.03397538926866e-07 1.76606354890046e-11
"9" 0.999107408562073 0.000892325759358803 2.65652205822805e-07 2.63622314004967e-11
"10" 0.998995871992918 0.00100379176598596 3.36203561232319e-07 3.75352865057853e-11
"11" 0.998884343725084 0.00111524117274851 4.15050678358211e-07 5.14887332040951e-11
"12" 0.998772823758265 0.00122667398057325 5.02192630403282e-07 6.85315038946506e-11
"13" 0.99866131209215 0.00133809019038698 5.97628490570335e-07 8.89725309766764e-11
"14" 0.998549808726431 0.00144948980311649 7.01357332062173e-07 1.13120746849397e-10
"15" 0.998438313660798 0.00156087281968859 8.13378228081597e-07 1.41285083912037e-10
"16" 0.998326826894944 0.00167223924103006 9.33690251831411e-07 1.73774474563821e-10
"17" 0.998215348428558 0.0017835890680677 1.06229247651441e-06 2.10897851203974e-10
"18" 0.998103878261332 0.00189492230172832 1.19918397533341e-06 2.52964146231719e-10
"19" 0.997992416392957 0.00200623894293871 1.34436382149121e-06 3.00282292046283e-10
"20" 0.997880962823125 0.00211753899262567 1.4978310881906e-06 3.53161221046888e-10
"21" 0.997769517551526 0.00222882245171599 1.65958484863439e-06 4.11909865632761e-10
"22" 0.99765808057785 0.00234008932113647 1.82962417602539e-06 4.76837158203125e-10
"23" 0.99754665190179 0.00245133960181392 2.00794814356639e-06 5.48252031157205e-10
"24" 0.997435231523037 0.00256257329467511 2.1945558244602e-06 6.26463416894225e-10
"25" 0.997323819441281 0.00267379040064687 2.38944629190962e-06 7.11780247813411e-10
"26" 0.997212415656213 0.00278499092065597 2.59261861911745e-06 8.04511456313986e-10
"27" 0.997101020167526 0.00289617485562922 2.8040718792865e-06 9.04965974795176e-10
"28" 0.996989632974908 0.00300734220649341 3.02380514561956e-06 1.0134527356562e-09
"29" 0.996878254078053 0.00311849297417535 3.25181749131944e-06 1.1302806712963e-09
"30" 0.99676688347665 0.00322962715960182 3.48810798958895e-06 1.25575871411468e-09
"31" 0.996655521170391 0.00334074476369963 3.73267571363088e-06 1.39019579651057e-09
"32" 0.996544167158967 0.00345184578739558 3.98551973664803e-06 1.5339008508832e-09
"33" 0.996432821442069 0.00356293023161646 4.24663913184321e-06 1.68718280963179e-09
"34" 0.996321484019388 0.00367399809728906 4.51603297241923e-06 1.85035060515557e-09
"35" 0.996210154890615 0.00378504938534019 4.79370033157887e-06 2.02371316985375e-09
"36" 0.996098834055442 0.00389608409669664 5.07964028252496e-06 2.20757943612558e-09
"37" 0.995987521513558 0.00400710223228521 5.37385189846028e-06 2.40225833637026e-09
"38" 0.995876217264656 0.0041181037930327 5.67633425258764e-06 2.60805880298703e-09
"39" 0.995764921308426 0.0042290887798659 5.98708641810984e-06 2.82528976837511e-09
"40" 0.99565363364456 0.00434005719371162 6.30610746822969e-06 3.05426016493372e-09
"41" 0.995542354272748 0.00445100903549664 6.63339647614998e-06 3.29527892506209e-09
"42" 0.995431083192682 0.00456194430614777 6.96895251507353e-06 3.54865498115944e-09
"43" 0.995319820404053 0.0046728630065918 7.31277465820312e-06 3.814697265625e-09
"44" 0.995208565906551 0.00478376513775553 7.66486197874157e-06 4.09371471085799e-09
"45" 0.995097319699868 0.00489465070056576 8.02521354989168e-06 4.38601624925764e-09
"46" 0.994986081783695 0.00500551969594928 8.39382844485625e-06 4.69191081322317e-09
"47" 0.994874852157723 0.00511637212483289 8.77070573683807e-06 5.0117073351538e-09
"48" 0.994763630821643 0.00522720798814339 9.15584449903997e-06 5.34571474744877e-09
"49" 0.994652417775146 0.00533802728680758 9.54924380466472e-06 5.69424198250729e-09
"50" 0.994541213017923 0.00544883002175225 9.95090272691514e-06 6.05759797272859e-09
"51" 0.994430016549665 0.0055596161939042 1.0360820338994e-05 6.43609165051189e-09
"52" 0.994318828370064 0.00567038580419023 1.07789957141042e-05 6.83003194825642e-09
"53" 0.99420764847881 0.00578113885353714 1.12054279254485e-05 7.23972779836141e-09
"54" 0.994096476875594 0.00589187534287171 1.16401160462296e-05 7.66548813322607e-09
"55" 0.993985313560108 0.00600259527312076 1.20830591496504e-05 8.10762188524964e-09
"56" 0.993874158532042 0.00611329864521107 1.25342563089137e-05 8.56643798683133e-09
"57" 0.993763011791088 0.00622398546006944 1.29937065972222e-05 9.04224537037037e-09
"58" 0.993651873336936 0.00633465571862268 1.34614090877789e-05 9.53535296826599e-09
"59" 0.993540743169279 0.00644530942179757 1.39373628537864e-05 1.00460697129174e-08
